Title,Year,Season,AverageSales,Rerelease,Total,Gross,Studio,Source
Senran Kagura Shinovi Master: Tokyo Youma-hen,2018,Fall,1007,0,1007,18.7,TNK,game
Sensei no Ojikan,2004,Spring,2398,0,2398,85.6,JC Staff,manga
Senyuu.,2013,Winter,1585,0,1585,16.7,Ordet,manga
Senyuu. Season 2,2013,Summer,1225,0,1225,13.0,Ordet,manga
Servamp,2016,Summer,3009,200,3209,103.8,Brains Base,manga
Servant x Service,2013,Summer,4250,0,4250,178.8,A1 Pictures,manga
Seto no Hanayome,2007,Spring,4746,1314,6060,327.8,Gonzo,manga
Shakugan no Shana,2005,Fall,10673,3182,13854,555.0,JC Staff,novel
Shakugan no Shana II,2007,Fall,9269,3229,12498,482.0,JC Staff,novel
Shakugan no Shana III -Final-,2011,Fall,4107,822,4929,237.4,JC Staff,novel
Shakunetsu no Takkyuu Musume,2016,Fall,1130,0,1130,37.8,Kinema Citrus,manga
Shangri-La,2009,Spring,658,0,658,25.6,Gonzo,novel
Shichisei no Subaru,2018,Summer,58,0,58,0.4,Lerche,novel
Shigatsu wa Kimi no Uso,2014,Fall,10727,0,10727,596.5,A1 Pictures,manga
Shigofumi,2008,Winter,863,865,1728,28.3,JC Staff,novel
Shigurui,2007,Summer,0,0,0,0.0,Madhouse,manga
Shijou Saikyou no Deshi Kenichi,2006,Fall,859,0,859,41.3,TMS Entertainment,manga
Shikabane-hime Aka,2008,Fall,949,0,949,29.8,Feel Gainax,manga
Shikabane-hime Kuro,2009,Winter,713,0,713,22.2,Feel Gainax,manga
Shiki,2010,Summer,1158,0,1158,36.2,Daume,novel
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,2015,Summer,2252,0,2252,89.6,JC Staff,novel
Shin Getter Robo,2004,Spring,4262,0,4262,146.6,Brains Base,manga
Shin Koihime Musou,2009,Fall,3180,176,3356,168.5,Douga Koubou,visual novel
Shin Koihime Musou: Otome Tairan,2010,Spring,2322,176,2498,123.5,Douga Koubou,visual novel
Shin Mazinger Shougeki! Z-hen,2009,Spring,2367,0,2367,79.2,Bee Media,manga
Shin Strange Plus,2014,Summer,70,0,70,0.5,Seven,manga
Shin Tennis no Ouji-sama,2012,Winter,7670,0,7670,269.1,Production IG,manga
Shingeki no Bahamut Genesis,2014,Fall,2551,1250,3801,79.6,MAPPA,game
Shingeki no Bahamut Virgin Soul,2017,Spring,3174,0,3174,152.4,MAPPA,game
Shingeki no Kyojin,2013,Spring,52078,1143,53221,3152.4,WIT Studio,manga
Shingeki no Kyojin Season 2,2017,Spring,7410,0,7410,293.4,WIT Studio,manga
Shingeki no Kyojin Season 3,2018,Summer,4297,0,4297,154.7,WIT Studio,manga
Shingeki! Kyojin Chuugakkou,2015,Fall,1602,0,1602,51.6,Production IG,manga
Shinigami no Ballad.,2006,Winter,1092,0,1092,18.7,Group TAC,novel
Shining Hearts: Shiawase no Pan,2012,Spring,903,0,903,31.5,Production IG,game
Shining Tears x Wind,2007,Spring,2057,0,2057,70.5,Studio Deen,game
Shinkon Gattai Godannar,2003,Fall,2006,796,2802,74.7,Oriental Light and Magic,original
Shinkon Gattai Godannar Second Season,2004,Spring,1804,796,2600,67.0,Oriental Light and Magic,original
Shinkyoku Soukai Polyphonica,2007,Spring,2397,0,2397,70.5,Ginga-ya,visual novel
Shinkyoku Soukai Polyphonica Crimson S,2009,Spring,1577,0,1577,54.9,Diomedia,visual novel
Shinmai Maou no Testament,2015,Winter,5186,862,6048,229.9,Production IMS,novel
Shinmai Maou no Testament BURST,2015,Fall,3752,862,4614,138.6,Production IMS,novel
Shinrei Tantei Yakumo,2010,Fall,767,0,767,26.7,Bee Train,novel
Shinreigari: Ghost Hound,2007,Fall,416,0,416,13.0,Production IG,original
Shinryaku! Ikamusume,2010,Fall,7372,591,7963,295.1,Diomedia,manga
Shinryaku!? Ikamusume,2011,Fall,3422,524,3946,139.6,Diomedia,manga
Shinsekai Yori,2012,Fall,606,0,606,38.7,A1 Pictures,novel
Shion no Ou,2007,Fall,520,0,520,0.9,Studio Deen,manga
Shirobako,2014,Fall,16373,3158,19531,1082.7,PA Works,original
Shirogane no Ishi Argevollen,2014,Summer,198,0,198,12.7,Xebec,original
Shirokuma Cafe,2012,Spring,1079,355,1434,63.1,Studio Pierrot,manga
Shokugeki no Souma,2015,Spring,2016,652,2668,124.9,JC Staff,manga
Shokugeki no Souma: Ni no Sara,2016,Summer,1368,229,1597,36.3,JC Staff,manga
Shokugeki no Souma: San no Sara,2017,Fall,1080,0,1080,15.7,JC Staff,manga
Shokugeki no Souma: San no Sara – Toutsuki Ressha-hen,2018,Spring,973,0,973,14.0,JC Staff,manga
Shoujo Kageki Revue Starlight,2018,Summer,5024,0,5024,211.0,Kinema Citrus,original
Shoujo Shuumatsu Ryokou,2017,Fall,2525,0,2525,90.9,White Fox,manga
Shoujo-tachi wa Kouya wo Mezasu,2016,Winter,383,0,383,2.7,Project No.9,visual novel
Shoukoku no Altair,2017,Summer,351,0,351,6.3,MAPPA,manga
Shoumetsu Toshi,2019,Spring,151,0,151,1.2,Madhouse,game
Shounen Hollywood -Holly Stage for 49-,2014,Summer,1174,0,1174,44.7,Zexcs,novel
Shounen Hollywood -Holly Stage for 50-,2015,Winter,1109,0,1109,42.0,Zexcs,novel
Shounen Maid,2016,Spring,602,0,602,18.3,8bit,manga
Shounen Onmyouji,2006,Fall,4217,0,4217,301.5,Studio Deen,novel
Shouwa Genroku Rakugo Shinjuu,2016,Winter,1635,0,1635,78.1,Studio Deen,manga
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,2017,Winter,1305,0,1305,41.8,Studio Deen,manga
Show By Rock!!,2015,Spring,6823,0,6823,276.2,Bones,game
Show By Rock!!#,2016,Fall,2054,0,2054,78.6,Bones,game
SHUFFLE!,2005,Summer,6114,865,6979,572.3,Asread,visual novel
SHUFFLE! MEMORIES,2007,Winter,2352,865,3217,76.5,Asread,visual novel
Shukufuku no Campanella,2010,Summer,1491,0,1491,51.0,AIC,visual novel
Shuudengo Capsule Hotel de Joushi ni Binetsu Tsutawaru Yoru.,2018,Fall,0,0,0,0.0,Suiseisha,manga
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,2017,Spring,1417,0,1417,59.5,Satelight,novel
Shuumatsu no Izetta,2016,Fall,2113,0,2113,88.7,Asia-Do,original
Simoun,2006,Spring,1052,705,1757,47.9,Studio Deen,original
sin Nanatsu no Taizai,2017,Spring,2752,0,2752,131.2,Artland,other (figures)
Sirius,2018,Summer,298,0,298,5.4,PA Works,original
Sister Princess,2001,Spring,7195,1477,8672,401.4,Zexcs,novel
Sister Princess Re Pure,2002,Fall,5132,1477,6609,114.1,Zexcs,novel
Sketchbook: full color's,2007,Fall,2893,0,2893,89.5,Hal Film Maker,manga
Skip Beat,2008,Fall,674,0,674,32.8,Hal Film Maker,manga
Skull Man,2007,Spring,639,0,639,9.2,Bones,manga
Sky Girls,2007,Spring,3825,0,3825,195.1,JC Staff,original
Slap Up Party -Arad Senki-,2009,Spring,0,0,0,0.0,Gonzo,game
Slayers Evolution-R,2009,Winter,3655,0,3655,89.3,JC Staff,novel
Slayers Revolution,2008,Summer,3628,0,3628,86.8,JC Staff,novel
Slow Start,2018,Winter,1661,0,1661,59.6,A1 Pictures,manga
SoftTenni,2011,Spring,1071,0,1071,32.3,Xebec,manga
sola,2007,Spring,3700,1666,5366,144.3,Nomad,original
Solty Rei,2005,Fall,881,0,881,79.0,Gonzo,original
Sora no Manimani,2009,Summer,1224,1408,2632,49.9,Studio Comet,manga
Sora no Method,2014,Fall,1349,0,1349,62.2,Studio 3Hz,original
Sora no Otoshimono,2009,Fall,6201,4329,10530,338.6,AIC ASTA,manga
Sora no Otoshimono Forte,2010,Fall,4100,2258,6358,203.4,AIC ASTA,manga
Sora no Woto,2010,Winter,4112,0,4112,193.8,A1 Pictures,original
Sora to Umi no Aida,2018,Fall,113,0,113,0.8,TMS Entertainment,original
Sora wo Kakeru Shoujo,2009,Winter,3664,0,3664,192.2,Sunrise,original
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,2009,Winter,449,0,449,9.1,Kyoto Animation,original
Sora yori mo Tooi Basho,2018,Winter,10007,0,10007,343.9,Madhouse,original
Sore ga Seiyuu!,2015,Summer,1157,0,1157,50.7,Gonzo,manga
Soredemo Machi wa Mawatteiru,2010,Fall,2170,1033,3203,76.5,Shaft,manga
Soredemo Sekai wa Utsukushii,2014,Spring,972,0,972,21.5,Studio Pierrot,manga
Soukou no Strain,2006,Fall,573,0,573,15.8,Studio Fantasia,original
Soukyuu no Fafner,2004,Summer,8005,13116,21121,466.6,Xebec,original
Soukyuu no Fafner Exodus,2015,Winter,8131,3301,11432,385.7,Xebec,original
Soukyuu no Fafner Exodus season 2,2015,Fall,7340,3301,10641,297.4,Xebec,original
Soul Eater,2008,Spring,4215,626,4841,318.5,Bones,manga
Soul Eater! NOT,2014,Spring,289,0,289,12.1,Bones,manga
Soul Link,2006,Spring,755,0,755,22.7,Picture Magic,visual novel
Souryo to Majiwaru Shikiyoku no Yoru ni…,2017,Spring,0,0,0,0.0,Seven,manga
Sousei no Aquarion,2005,Spring,3389,9138,12527,177.3,Satelight,original
Sousei no Onmyouji,2016,Spring,125,0,125,0.9,Studio Pierrot,manga
Soushin Shoujo Matoi,2016,Fall,537,0,537,22.5,White Fox,original
Souten no Ken,2006,Fall,1138,0,1138,59.4,Studio APPP,manga
Space Dandy,2014,Winter,1115,3223,4338,69.1,Bones,original
Sparrow's Hotel,2013,Spring,0,0,0,0.0,Hotline,manga
Special A,2008,Spring,419,0,419,22.8,Gonzo,manga
Speed Grapher,2005,Spring,672,0,672,25.5,Gonzo,original
Spiral: Suiri no Kizuna,2002,Fall,1457,758,2215,32.8,JC Staff,manga
SSSS.Gridman,2018,Fall,9363,0,9363,299.6,Trigger,original
Star Driver Kagayaki no Takuto,2010,Fall,9404,1951,11355,607.6,Bones,original
Starmyu,2015,Fall,7131,619,7750,273.2,C-Station,original
Starmyu Season 2,2017,Spring,5660,289,5949,230.5,C-Station,original
Starry Sky,2011,Winter,3430,0,3430,258.6,Studio Deen,visual novel
Starship Operators,2005,Winter,1276,0,1276,42.2,JC Staff,novel
Steins;Gate,2011,Spring,16671,14189,30860,1185.8,White Fox,visual novel
Steins;Gate 0,2018,Spring,2684,0,2684,199.7,White Fox,visual novel
Stella Jogakuin Koutouka C3-bu,2013,Summer,226,0,226,10.8,Gainax,manga
Stella no Mahou,2016,Fall,670,0,670,20.1,Silver Link,manga
Strange Plus,2014,Winter,229,0,229,1.5,Seven,manga
Stratos Four,2003,Winter,5291,1441,6732,144.3,Studio Fantasia,original
Strawberry Panic,2006,Spring,2527,731,3258,149.1,Madhouse,novel
Strike The Blood,2013,Fall,6225,2582,8807,390.1,Silver Link,novel
Strike Witches,2008,Summer,13789,18737,32526,645.3,Gonzo,original
Strike Witches 2,2010,Summer,14327,12581,26908,729.1,AIC Spirits,original
Strike Witches: 501 Butai Hasshin Shimasu!,2019,Spring,2327,0,2327,20.7,acca effe,original
Subete ga F ni Naru: The Perfect Insider,2015,Fall,462,0,462,14.8,A1 Pictures,novel
Suisei no Gargantia,2013,Spring,9101,0,9101,436.8,Production IG,original
Suki na Mono wa Suki Dakara Shouganai!!,2005,Winter,0,0,0,0.0,Zexcs,novel
Sukitte Ii na yo.,2012,Fall,562,0,562,15.3,Zexcs,manga
Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida!?,2003,Summer,1521,0,1521,52.9,ufotable,novel
Sumomo mo Momomo,2006,Fall,955,0,955,48.5,Studio Hibari,manga
Sunabouzu,2004,Fall,578,0,578,21.9,Gonzo,manga
Sunohara-sou no Kanrinin-san,2018,Summer,482,0,482,3.8,Silver Link,manga
Super Lovers,2016,Spring,2540,0,2540,89.9,Studio Deen,manga
Super Lovers 2,2017,Winter,1366,0,1366,48.3,Studio Deen,manga
Super Robot Taisen OG: Divine Wars,2006,Fall,4098,414,4512,258.0,Oriental Light and Magic,game
Super Robot Taisen OG: The Inspector,2010,Fall,889,0,889,39.1,Asahi Production,game
Super Sonico The Animation (SoniAni),2014,Winter,1848,249,2097,81.4,White Fox,company mascot
Suteki Tantei Labyrinth,2007,Fall,0,0,0,0.0,Studio Deen,manga
Suzakinishi The Animation,2015,Summer,2365,0,2365,14.1,feel,radio show
Suzuka,2005,Summer,1178,0,1178,56.6,Studio Comet,manga
Suzumiya Haruhi no Yuuutsu,2006,Spring,42756,37000,79756,2059.0,Kyoto Animation,novel
Suzumiya Haruhi no Yuuutsu (2009),2009,Summer,19052,36041,55093,894.7,Kyoto Animation,novel
Suzumiya Haruhi-chan no Yuuutsu to Nyoron Churuya-san,2009,Winter,14641,5379,20020,210.8,Kyoto Animation,manga
Sword Art Online,2012,Summer,36159,9540,45699,2397.6,A1 Pictures,novel
Sword Art Online Alternative: Gun Gale Online,2018,Spring,5047,0,5047,201.9,Studio 3Hz,novel
Sword Art Online II,2014,Summer,20707,7998,28705,1286.0,A1 Pictures,novel
Sword Art Online: Alicization,2018,Fall,12305,0,12305,580.1,A1 Pictures,novel
Taboo Tattoo,2016,Summer,368,0,368,2.5,JC Staff,manga
Tactical Roar,2006,Winter,2190,434,2624,83.3,Actas,original
Tactics,2004,Fall,2059,0,2059,80.0,Studio Deen,manga
Tada-kun wa Koi wo Shinai,2018,Spring,1158,0,1158,37.4,Douga Koubou,original
Tai-Madou Gakuen 35 Shiken Shoutai,2015,Fall,722,0,722,26.5,Silver Link,novel
Taiho Shichau zo Full Throttle,2007,Fall,4030,0,4030,212.8,Studio Deen,manga
Taiho Shichau zo Second Season,2001,Spring,6255,810,7065,337.7,Studio Deen,manga
Taishou Mebiusline: Chicchai-san,2012,Fall,0,0,0,0.0,Studio A-CAT,visual novel
Taishou Yakyuu Musume,2009,Summer,1799,540,2339,57.3,JC Staff,novel
Takamiya Nasuno Desu!: Teekyuu Spin-off,2015,Spring,1784,0,1784,6.8,Millepensee,manga
Takunomi.,2018,Winter,510,0,510,10.0,Production IMS,manga
Tales of Eternia,2001,Winter,2208,0,2208,31.8,Production IG,game
Tales of the Abyss,2008,Fall,7727,1925,9652,402.3,Sunrise,game
Tales of Zestiria the X,2016,Summer,2216,0,2216,70.9,ufotable,game
Tales of Zestiria the X season 2,2017,Winter,4111,0,4111,131.6,ufotable,game
Tamako Market,2013,Winter,3821,1019,4840,153.6,Kyoto Animation,original
Tamayura: hitotose,2011,Fall,4844,0,4844,221.2,TYO Animations,original
Tamayura: more aggressive,2013,Summer,4394,0,4394,178.2,TYO Animations,original
Tanaka-kun wa Itsumo Kedaruge,2016,Spring,1258,0,1258,37.1,Silver Link,manga
Tantei Kageki Milky Holmes TD,2015,Winter,694,0,694,28.3,JC Staff,original
Tantei Opera Milky Holmes,2010,Fall,6150,211,6361,225.9,JC Staff,original
Tantei Opera Milky Holmes 2,2012,Winter,1950,221,2171,67.4,JC Staff,original
Tantei Team KZ Jiken Note,2015,Fall,0,0,0,0.0,Signal MD,novel
Tari Tari,2012,Summer,8678,2193,10871,360.0,PA Works,original
Tasogare Otome x Amnesia,2012,Spring,2283,0,2283,95.5,Silver Link,manga
Tatakau Shisho – The Book of Bantorra,2009,Fall,905,584,1489,26.3,David Production,novel
Tate no Yuusha no Nariagari,2019,Winter,2229,0,2229,118.6,Kinema Citrus,novel
Tayutama -Kiss on my Deity-,2009,Spring,2043,0,2043,65.9,Silver Link,visual novel
Tears to Tiara,2009,Spring,1858,0,1858,101.3,White Fox,game
Teekyuu,2012,Fall,3340,445,3785,12.7,MAPPA,manga
Teekyuu season 2,2013,Summer,3526,445,3971,13.4,MAPPA,manga
Teekyuu season 3,2013,Fall,2851,445,3296,10.8,MAPPA,manga
Teekyuu season 4,2015,Spring,2161,445,2606,8.2,Millepensee,manga
Teekyuu season 5,2015,Summer,1643,445,2088,6.2,Millepensee,manga
Teekyuu season 6,2015,Fall,1472,445,1917,5.6,Millepensee,manga
Teekyuu season 7,2016,Winter,1177,445,1622,4.5,Millepensee,manga
Teekyuu season 8,2016,Fall,951,445,1396,3.6,Millepensee,manga
Teekyuu season 9,2017,Summer,770,0,770,2.9,Millepensee,manga
Tegami Bachi,2009,Fall,2724,0,2724,86.9,Studio Pierrot,manga
Tegami Bachi Reverse,2010,Fall,1715,0,1715,69.9,Studio Pierrot,manga
Telepathy Shoujo Ran,2008,Summer,0,0,0,0.0,TMS Entertainment,novel
Tenchi Muyou! GXP,2002,Spring,6135,0,6135,284.7,AIC,original
Tengen Toppa Gurren Lagann,2007,Spring,20051,15271,35322,1039.2,Gainax,original
Tenjou Tenge,2004,Spring,5101,0,5101,233.4,Madhouse,manga
Tenpou Ibun Ayakashi Ayashi,2006,Fall,1700,0,1700,73.5,Bones,original
Tensei shitara Slime Datta Ken,2018,Fall,6481,0,6481,336.1,8bit,novel
Tenshi na Konamaiki,2002,Summer,632,0,632,7.6,TMS Entertainment,manga
Tenshi no 3P!,2017,Summer,1587,0,1587,52.4,Project No.9,novel
Tenshi no Shippo,2001,Fall,2011,0,2011,12.1,Wonderfarm,original
Tentai Senshi Sunred,2008,Fall,3674,0,3674,69.8,AIC ASTA,manga
Tentai Senshi Sunred 2nd Season,2009,Fall,2629,0,2629,50.0,AIC ASTA,manga
Terra e,2007,Spring,6336,0,6336,278.8,Tokyo Kids,manga
TerraFormars,2014,Fall,1168,160,1328,49.4,Liden Films,manga
TerraFormars Revenge,2016,Spring,407,0,407,1.8,Liden Films,manga
Tetsujin 28-go,2004,Spring,1682,0,1682,77.9,Genco,manga
Tetsuwan Birdy Decode,2008,Summer,1658,0,1658,66.7,A1 Pictures,manga
Tetsuwan Birdy Decode:02,2009,Winter,1020,0,1020,36.7,A1 Pictures,manga
TEXHNOLYZE,2003,Spring,1071,0,1071,33.5,Madhouse,original
The Big O 2nd Season,2003,Winter,3707,3252,6959,124.8,Sunrise,original
THE iDOLM@STER + G4U Bundle,2011,Summer,28912,0,28912,2125.9,A1 Pictures,game
THE IDOLM@STER Cinderella Girls + G4U Bundle,2015,Winter,31491,0,31491,2400.4,A1 Pictures,game
THE IDOLM@STER Cinderella Girls Gekijou,2017,Spring,22802,0,22802,224.4,Gathering,manga
THE IDOLM@STER Cinderella Girls Gekijou 2nd Season,2017,Fall,8727,0,8727,90.6,Gathering,manga
THE IDOLM@STER Cinderella Girls Gekijou 3rd Season,2018,Summer,4939,0,4939,51.4,Gathering,manga
THE IDOLM@STER Cinderella Girls Gekijou Climax Season,2019,Spring,6527,0,6527,22.5,Gathering,manga
THE IDOLM@STER SideM,2017,Fall,16328,0,16328,729.6,A1 Pictures,game
The iDOLM@STER SideM: Wake Atte Mini!,2018,Fall,5400,0,5400,40.1,Zero-G,manga
THE iDOLM@STER Xenoglossia,2007,Spring,2556,0,2556,149.5,Sunrise,game
The Soultaker,2004,Spring,2611,0,2611,48.5,Tatsunoko Production,original
The Third: Aoi Hitomi no Shoujo,2006,Spring,710,0,710,60.9,Xebec,novel
The Unlimited -Hyoubu Kyousuke-,2013,Winter,3096,487,3583,104.5,Manglobe,manga
Therma Romae,2012,Winter,236,0,236,1.1,DLE,manga
Tide-Line Blue,2005,Summer,0,0,0,0.0,Telecom Animation Film,original
Tiger & Bunny,2011,Spring,28551,9870,38421,1643.2,Sunrise,original
To Aru Hikuushi e no Koiuta,2014,Winter,240,0,240,7.9,TMS Entertainment,novel
To Aru Kagaku no Railgun,2009,Fall,24823,10993,35816,1428.9,JC Staff,manga
To Aru Kagaku no Railgun S,2013,Spring,16923,3695,20618,1037.2,JC Staff,manga
To Aru Majutsu no Index,2008,Fall,12125,13273,25398,679.3,JC Staff,novel
To Aru Majutsu no Index II,2010,Fall,17103,6474,23577,989.5,JC Staff,novel
To Aru Majutsu no Index III,2018,Fall,4241,0,4241,234.9,JC Staff,novel
To Be Hero,2016,Fall,0,0,0,0.0,Haoliners,original
To Be Heroine,2018,Spring,0,0,0,0.0,Haoliners,original
To Love-Ru,2008,Spring,7520,2558,10077,449.8,Xebec,manga
To Love-Ru Darkness,2012,Fall,11266,1435,12701,445.4,Xebec,manga
To Love-Ru Darkness 2nd,2015,Summer,5934,956,6890,275.0,Xebec,manga
ToHeart2,2005,Fall,3604,0,3604,154.0,Oriental Light and Magic,visual novel
ToHeart: Remember My Memories,2004,Fall,3410,0,3410,123.4,AIC,visual novel
Toji no Miko,2018,Winter,1056,0,1056,70.5,Studio Gokumi,original
Tokimeki Memorial Only Love,2006,Fall,1190,0,1190,65.0,AIC ASTA,visual novel
TOKKO,2006,Spring,0,0,0,0.0,Group TAC,manga
Tokyo ESP,2014,Summer,259,0,259,11.8,Xebec,manga
Tokyo Ghoul,2014,Summer,3620,517,4137,122.6,Studio Pierrot,manga
Tokyo Ghoul √A,2015,Winter,2027,412,2439,78.4,Studio Pierrot,manga
Tokyo Ghoul:re,2018,Spring,565,0,565,11.7,Studio Pierrot,manga
Tokyo Ghoul:re 2nd Season,2018,Fall,355,0,355,3.0,Studio Pierrot,manga
Tokyo Magnitude 8.0,2009,Summer,976,0,976,8.6,Bones,original
Tokyo Majin Gakuen Kenpucho: Tou,2007,Winter,1058,0,1058,29.8,AIC Spirits,game
Tokyo Majin Gakuen Kenpucho: Tou Dai ni Maku,2007,Summer,533,0,533,10.0,AIC Spirits,game
Tokyo Ravens,2013,Fall,2247,364,2611,131.2,8bit,novel
Tokyo Tribe 2,2006,Fall,0,0,0,0.0,Madhouse,manga
Tonagura!,2006,Summer,1088,0,1088,31.5,Daume,manga
Tonari no Kaibutsu-kun,2012,Fall,1785,0,1785,67.7,Brains Base,manga
Tonari no Kyuuketsuki-san,2018,Fall,1102,0,1102,21.2,Studio Gokumi,manga
Tonari no Seki-kun,2014,Winter,1188,0,1188,9.0,Shin-Ei Animation,manga
Tono to Issho,2010,Summer,3896,0,3896,14.8,Gathering,manga
Tono to Issho: Gantai no Yabou,2011,Spring,1329,0,1329,12.8,Gathering,manga
Toradora!,2008,Fall,10742,24043,34785,597.8,JC Staff,novel
Toshokan Sensou,2008,Spring,10131,2112,12243,266.1,Production IG,novel
Touka Gettan,2007,Spring,1007,0,1007,42.7,Studio Deen,visual novel
Touken Ranbu: Hanamaru,2016,Fall,17969,0,17969,636.6,Douga Koubou,game
Triage X,2015,Spring,1616,0,1616,60.1,Xebec,manga
Trickster: Edogawa Ranpo Shounen Tanteidan yori,2016,Fall,288,0,288,1.8,TMS Entertainment,original
Trinity Blood,2005,Spring,2204,0,2204,206.3,Gonzo,novel
Trinity Seven,2014,Fall,3464,1121,4585,162.4,Seven Arcs,manga
True Tears,2008,Winter,2381,5265,7646,89.7,PA Works,visual novel
Tsubasa Chronicle,2005,Spring,3275,0,3275,126.8,Bee Train,manga
Tsubasa Chronicle 2nd Series,2006,Spring,1792,0,1792,58.9,Bee Train,manga
Tsugumomo,2017,Spring,764,0,764,27.9,Zero-G,manga
Tsuki ga Kirei,2017,Spring,5960,0,5960,118.0,Feel,original
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,2004,Summer,3295,0,3295,84.3,Radix,visual novel
Tsukihime,2003,Fall,14798,0,14798,443.9,JC Staff,visual novel
Tsukiuta. The Animation,2016,Summer,8561,0,8561,372.0,Studio Pierrot,original
Tsukumogami Kashimasu,2018,Summer,78,0,78,1.4,TMS Entertainment,novel
Tsukuyomi -Moon Phase-,2004,Fall,2859,0,2859,233.6,Shaft,manga
Tsuritama,2012,Spring,3911,0,3911,142.3,A1 Pictures,original
Tsurune: Kazemai Koukou Kyuudoubu,2018,Fall,2177,0,2177,96.0,Kyoto Animation,novel
Tsuyokiss Cool x Sweet,2006,Summer,1678,0,1678,41.9,Studio Hibari,visual novel
Twin Angel Break,2017,Spring,867,0,867,23.4,JC Staff,original
Two Car,2017,Fall,219,0,219,3.1,Silver Link,original
TYTANIA,2008,Fall,695,0,695,31.0,Artland,novel
Uchi no Maid ga Uzasugiru!,2018,Fall,592,0,592,14.0,Douga Koubou,manga
Uchouten Kazoku,2013,Summer,2322,1686,4008,100.3,PA Works,novel
Uchouten Kazoku 2,2017,Spring,1534,0,1534,59.7,PA Works,novel
Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,2004,Summer,2231,0,2231,66.8,Azeta Pictures,original
Uchuu no Stellvia,2003,Spring,7338,1024,8362,376.6,Xebec,original
Uchuu Patrol Luluco,2016,Spring,1880,0,1880,16.5,Trigger,original
Uchuu Senkan Tiramisu,2018,Spring,474,0,474,8.4,Gonzo,manga
Uchuu Senkan Tiramisu II,2018,Fall,205,0,205,1.8,Gonzo,manga
Udon no Kuni no Kin'iro Kemari,2016,Fall,707,0,707,10.8,Liden Films,manga
Ueki no Housoku,2006,Fall,0,0,0,0.0,Studio Deen,manga
Ueno-san wa Bukiyou,2019,Winter,554,0,554,6.4,Lesprit,manga
UFO Princess Valkyrie,2002,Summer,3500,0,3500,130.5,TNK,manga
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,2003,Fall,3254,0,3254,122.7,TNK,manga
Ultimate Girls,2005,Winter,1581,0,1581,24.0,m.o.e.,original
Ultraviolet: Code 044,2008,Summer,0,0,0,0.0,Madhouse,live action
Ulysses: Jehanne Darc to Renkin no Kishi,2018,Fall,0,0,0,0.0,AXsiZ,novel
Uma Musume: Pretty Derby,2018,Spring,18235,0,18235,933.6,PA Works,game
Umimonogatari: Anata ga Ite Kureta Koto,2009,Summer,637,0,637,18.5,Zexcs,pachinko
Umineko no Naku Koro ni,2009,Summer,1327,385,1712,96.1,Studio Deen,visual novel
UN-GO,2011,Fall,2076,0,2076,51.0,Bones,original
Upotte!!,2012,Spring,1641,0,1641,58.4,Xebec,manga
UQ Holder!: Mahou Sensei Negima! 2,2017,Fall,833,0,833,25.0,JC Staff,manga
Uragiri wa Boku no Namae wo Shitteiru,2010,Spring,2494,289,2783,197.5,JC Staff,manga
Urahara,2017,Fall,0,0,0,0.0,EMT²,original
Urara Meirochou,2017,Winter,878,278,1156,29.7,JC Staff,manga
Urawa no Usagi-chan,2015,Spring,70,0,70,0.5,A-Real,original
Usagi Drop,2011,Summer,4116,0,4116,98.3,Production IG,manga
Usakame,2016,Spring,0,0,0,0.0,Millepensee,manga
Ushinawareta Mirai wo Motomete,2014,Fall,395,0,395,15.4,Feel,visual novel
Ushio to Tora,2015,Summer,2419,0,2419,228.5,MAPPA,manga
Uta no Prince-sama Maji Love 1000%,2011,Summer,18010,0,18010,670.8,A1 Pictures,visual novel
Uta no Prince-sama Maji Love 2000%,2013,Spring,33776,0,33776,1531.2,A1 Pictures,visual novel
Uta no Prince-sama Maji Love Legend Star,2016,Fall,29615,0,29615,1127.9,A1 Pictures,visual novel
Uta no Prince-sama Maji Love Revolutions,2015,Spring,35973,0,35973,1386.2,A1 Pictures,visual novel
Utawarerumono,2006,Spring,8371,251,8622,602.7,Oriental Light and Magic,visual novel
Utawarerumono Itsuwari no Kamen,2015,Fall,3558,0,3558,241.9,White Fox,visual novel
Uta∽Kata,2004,Fall,1924,691,2615,69.2,Hal Film Maker,original
Valkyrie Drive -Mermaid-,2015,Fall,2332,0,2332,92.7,Arms,original
Vampire Knight,2008,Spring,2547,0,2547,76.8,Studio Deen,manga
Vampire Knight Guilty,2008,Fall,2190,0,2190,63.5,Studio Deen,manga
Vandread,2000,Fall,8614,0,8614,316.4,Gonzo,original
Vandread the Second Stage,2001,Fall,5812,0,5812,206.9,Gonzo,original
Vatican Kiseki Chousakan,2017,Summer,1168,0,1168,50.6,JC Staff,novel
Venus Versus Virus,2007,Winter,527,0,527,3.2,Studio Hibari,manga
Violet Evergarden,2018,Winter,7327,0,7327,275.8,Kyoto Animation,novel
